,	,
.	.
'	'
"	"
$	POS
ADJ	JJ
ADJ+CONJ+P+N	JJ
ADJ+N+N+N	JJ
ADJR	JJR
ADJS	JJS
ADV	RB
ADVR	RBR
ADVS	RBS
ALSO	RB
BAG	VBG
BE	VB
BED	VBD
BEI	VB
BEN	VBN
BEP	VB
C	IN
CONJ	CC
D	DT
DAG	VBG
DAN	VBN
DO	VB
DOD	VBD
DOI	VB
DON	VBN
DOP	VB
ELSE	RB
EX
FOR	IN
FP	RB
FW
FW+N	FW
HAG	VBG
HAN	VBN
HV	VB
HVD	VBD
HVI	VB
HVN	VBN
HVP	VB
INTJ	UH
MD
META
N	NN
N$	NN
NEG	RB
NP-LOC
NPR	NNP
NPR$	NNP
NPR$+NPR+NPR	NNP
NPRS	NNPS
NPRS$	NNPS
NRP$	NNP
NS	NNS
NS$	NNS
NUM
N+X	NN
ONE	PRP
ONE$	PRP
ONE+PRO	PRP
ONES	PRP
OTHER	PRP
OTHER$	PRP
OTHERS	PRP
OTHERS$	PRP
P	IN
PRO	PRP
PRO$	PRP
PRO$-RSP	PRP
Q	JJ
QR	JJR
QS	JJS
RP	IN
SUCH	IN
TO
VAG	VBG
VAN	VBN
VB	VB
VBD	VBD
VBI	VB
VBN	VBN
VBP	VB
VBI+PRO+NEG	VB
WADV	WRB
WARD
WD	WRB
WPRO	WP
WPRO$	WP
WPRO$+ADV+ADV	WP
WQ	WDT
X	SYM
